Season,Player,Points,Rebounds,Assists
2015-16,LeBron James,1920,565,514
2015-16,Stephen Curry,2375,430,527
2016-17,LeBron James,1954,639,646
2016-17,Stephen Curry,1999,353,524
2017-18,LeBron James,2251,709,747
2017-18,Stephen Curry,1346,261,310
2018-19,LeBron James,1505,465,454
2018-19,Stephen Curry,1881,369,361
2019-20,LeBron James,1698,525,684
2019-20,Stephen Curry,104,26,33
2020-21,LeBron James,1126,346,350
2020-21,Stephen Curry,2015,345,363
2021-22,LeBron James,1695,459,349
2021-22,Stephen Curry,1630,335,404
2022-23,LeBron James,1590,457,375
2022-23,Stephen Curry,1648,341,352
